Format Version,1.21,Take Name,Bend 0 Try 2,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-03-12 09.52.00.856 PM,Total Frames in Take,4720,Total Exported Frames,4720,Rotation Type,Quaternion,Length Units,Millimeters
,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Module,Module,Module,Module,Module,Module,Module,Module
,,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,error,X,Y,Z,W,X,Y,Z,error
35,0.291667,8.6E-05,-4.5E-05,0.000183,-1,60.047997,-0.250747,76.835014,0.002628,-0.005467,0.000813,-0.000976,-0.999984,-37.106049,115.495033,140.152924,0.089949
36,0.3,8.6E-05,-4.9E-05,0.000171,-1,60.031921,-0.244614,76.833916,0.003914,-0.003662,0.001135,-0.001007,-0.999992,-37.132904,115.523125,140.144867,0.076825
37,0.308333,7.9E-05,-3.2E-05,0.00015,-1,60.015934,-0.19838,76.835854,0.003318,-0.003209,0.00109,-0.001201,-0.999994,-37.142014,115.571182,140.156494,0.084135
38,0.316667,6.1E-05,-4.6E-05,0.000142,-1,60.010975,-0.181811,76.841194,0.009686,-0.003349,0.001136,-0.001031,-0.999993,-37.144039,115.600166,140.156754,0.078909
39,0.325,0.000125,-4.7E-05,0.00014,-1,60.008602,-0.186187,76.834366,0.004212,-0.003278,0.001088,-0.001055,-0.999994,-37.144424,115.582153,140.153564,0.08383
40,0.333333,0.000106,-3.5E-05,0.000128,-1,60.020977,-0.222874,76.837395,0.005205,-0.003324,0.001079,-0.001102,-0.999993,-37.135296,115.557007,140.15625,0.077634
41,0.341667,7.5E-05,-4.4E-05,0.000174,-1,60.031376,-0.241832,76.830299,0.003402,-0.00353,0.001182,-0.001015,-0.999993,-37.132019,115.540924,140.151978,0.079944
42,0.35,7.4E-05,-4E-05,0.000172,-1,60.030174,-0.225793,76.831963,0.00522,-0.005648,0.000861,-0.001144,-0.999983,-37.11441,115.519585,140.15094,0.098857
43,0.358333,7.8E-05,-4.6E-05,0.000157,-1,60.030647,-0.205971,76.839592,0.003303,-0.005562,0.000799,-0.001346,-0.999983,-37.116623,115.536491,140.15802,0.091698
44,0.366667,6E-05,-3.2E-05,0.000193,-1,60.020741,-0.226344,76.833237,0.006348,-0.005242,0.000851,-0.001142,-0.999985,-37.132114,115.519165,140.150543,0.093995
45,0.375,9E-05,-4.4E-05,0.000143,-1,60.023865,-0.240439,76.833221,0.008245,-0.003432,0.001162,-0.00093,-0.999993,-37.140129,115.543617,140.149857,0.082219
46,0.383333,0.000152,-3.3E-05,0.000113,-1,60.027206,-0.226402,76.838554,0.005345,-0.002976,0.001058,-0.000545,-0.999995,-37.143059,115.535782,140.154999,0.099178
47,0.391667,0.000105,-4.7E-05,0.000163,-1,60.026241,-0.211639,76.833481,0.007331,-0.003114,0.001053,-0.000917,-0.999994,-37.134991,115.560318,140.151138,0.080273
48,0.4,0.00011,-4.4E-05,8.5E-05,-1,60.022232,-0.200691,76.836143,0.004341,-0.00535,0.000746,-0.000407,-0.999985,-37.136593,115.520378,140.156967,0.108083
49,0.408333,8.8E-05,-5E-05,0.000134,-1,60.030067,-0.219579,76.836411,0.005017,-0.005374,0.000742,-0.000873,-0.999985,-37.119068,115.515968,140.150986,0.087745
50,0.416667,7.3E-05,-5.5E-05,0.000199,-1,60.03635,-0.259777,76.830498,0.006581,-0.005493,0.000824,-0.001203,-0.999984,-37.114613,115.471161,140.142441,0.093641
51,0.425,0.000111,-4.3E-05,0.000148,-1,60.04237,-0.277161,76.833115,0.007947,-0.004903,0.001273,-0.001066,-0.999987,-37.122131,115.486374,140.160126,0.073376
52,0.433333,0.000128,-3.9E-05,0.000152,-1,60.03038,-0.232802,76.836227,0.004113,-0.005538,0.000866,-0.00122,-0.999984,-37.119476,115.512787,140.149368,0.087565
53,0.441667,0.000103,-4.4E-05,0.000117,-1,60.019726,-0.19121,76.832558,0.005667,-0.002612,0.001086,-0.000813,-0.999996,-37.13612,115.598412,140.175903,0.085969
54,0.45,6.7E-05,-4.2E-05,0.000166,-1,60.015789,-0.165528,76.842506,0.007917,-0.003352,0.001102,-0.000975,-0.999993,-37.135452,115.592926,140.15918,0.08112
55,0.458333,0.000104,-5.6E-05,0.000166,-1,60.016285,-0.195822,76.838654,0.002339,-0.003189,0.001125,-0.001117,-0.999994,-37.140682,115.577728,140.154358,0.079668
56,0.466667,0.000128,-3.8E-05,0.00015,-1,60.013378,-0.2353,76.832001,0.004828,-0.003294,0.001263,-0.000922,-0.999993,-37.146469,115.547783,140.154068,0.079925
57,0.475,0.000133,-6.1E-05,0.000153,-1,60.017284,-0.221795,76.838493,0.004535,-0.002961,0.001128,-0.001045,-0.999995,-37.139294,115.559227,140.155777,0.081591
58,0.483333,9.8E-05,-3.8E-05,0.000145,-1,60.025848,-0.214469,76.832718,0.004008,-0.005657,0.000903,-0.001334,-0.999983,-37.125011,115.533127,140.150665,0.094863
59,0.491667,9E-05,-3.8E-05,0.000137,-1,60.0355,-0.214264,76.837563,0.001669,-0.005628,0.000821,-0.001528,-0.999983,-37.109165,115.52626,140.154114,0.092215
60,0.5,0.000115,-4.6E-05,0.000156,-1,60.039917,-0.233183,76.840256,0.001714,-0.00348,0.00117,-0.001111,-0.999993,-37.126991,115.541977,140.154373,0.082577
61,0.508333,7.9E-05,-4.3E-05,0.000196,-1,60.02084,-0.24757,76.829628,0.00455,-0.003281,0.001104,-0.000741,-0.999994,-37.140041,115.534523,140.147842,0.079998
62,0.516667,9.7E-05,-4.2E-05,0.000152,-1,60.015888,-0.21358,76.834305,0.006085,-0.003249,0.001158,-0.001192,-0.999993,-37.146885,115.556877,140.152145,0.082516
63,0.525,0.000141,-4.9E-05,9.9E-05,-1,60.018204,-0.198432,76.838974,0.003998,-0.003219,0.001094,-0.00089,-0.999994,-37.137794,115.572609,140.159897,0.081449
64,0.533333,0.000121,-4.5E-05,0.00013,-1,60.026096,-0.21861,76.832237,0.001535,-0.003438,0.001094,-0.001266,-0.999993,-37.1334,115.553375,140.153351,0.078961
65,0.541667,8.1E-05,-5.1E-05,0.000151,-1,60.040009,-0.23983,76.83625,0.00383,-0.003288,0.000957,-0.000996,-0.999994,-37.115044,115.540016,140.15918,0.083508
66,0.55,0.000134,-5.4E-05,0.000138,-1,60.041901,-0.256653,76.829872,0.002101,-0.003241,0.001172,-0.000935,-0.999994,-37.119694,115.520462,140.148605,0.079441
67,0.558333,0.00013,-5.5E-05,0.000128,-1,60.028225,-0.250472,76.827583,0.004883,-0.003674,0.001175,-0.001305,-0.999992,-37.130486,115.524841,140.148911,0.086884
68,0.566667,9E-05,-4.3E-05,0.000189,-1,60.021175,-0.210409,76.839745,0.003397,-0.005673,0.000895,-0.001397,-0.999983,-37.130497,115.528091,140.153305,0.093212
69,0.575,9.4E-05,-4.9E-05,0.000168,-1,60.01474,-0.194482,76.832054,0.003199,-0.003535,0.001229,-0.001118,-0.999992,-37.143188,115.576012,140.15506,0.085074
70,0.583333,8.1E-05,-4.7E-05,0.000144,-1,60.020676,-0.200126,76.832962,0.003651,-0.003004,0.00096,-0.000356,-0.999995,-37.147049,115.546982,140.15535,0.099006
71,0.591667,8.5E-05,-4.3E-05,0.000159,-1,60.031158,-0.22116,76.839272,0.002156,-0.003039,0.001128,-0.000507,-0.999995,-37.139095,115.545006,140.158707,0.10117
72,0.6,9.7E-05,-4.5E-05,0.000144,-1,60.019508,-0.220636,76.83374,0.00455,-0.003125,0.001049,-0.0005,-0.999994,-37.150745,115.541557,140.155991,0.09862
