,time,joint_index,x,y,z,xr,yr,zr,wr,angle,axis,sensor_x,sensor_y,sensor_z,axis_x,axis_y,axis_z
65,0.47961899999999996,1,2.3168349999999998,0.0,-86.680138,0.0,0.697595,0.0,0.716492,88.46875913341485,[0. 1. 0.],-0.001,0.0,0.036,0.0,1.0,0.0
66,0.48795200000000005,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0017,0.0,0.0359,0.0,0.0,0.0
67,0.48795200000000005,1,-4.204643,0.0,-86.609093,0.0,-0.72405,-0.0,-0.689747,-92.77979311591885,[ 0. -1. -0.],0.0017,0.0,0.0359,0.0,-1.0,-0.0
68,0.49628599999999995,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0044,-0.0,0.0357,0.0,0.0,0.0
69,0.49628599999999995,1,-10.660982,0.0,-86.05323,0.0,-0.749317,-0.0,-0.662212,-97.06245248333592,[ 0. -1. -0.],0.0044,-0.0,0.0357,0.0,-1.0,-0.0
70,0.5046189999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0071,0.0,0.0353,0.0,0.0,0.0
71,0.5046189999999999,1,-16.997629,0.0,-85.028786,0.0,-0.7733140000000001,-0.0,-0.634023,-101.30486661788133,[ 0. -1. -0.],0.0071,0.0,0.0353,0.0,-1.0,-0.0
72,0.512953,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0096,0.0,0.0347,0.0,0.0,0.0
73,0.512953,1,-23.163657999999998,0.0,-83.559914,0.0,-0.79597,-0.0,-0.6053350000000001,-105.49403933951298,[ 0. -1. -0.],0.0096,0.0,0.0347,0.0,-1.0,-0.0
74,0.521288,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0121,0.0,0.0339,0.0,0.0,0.0
75,0.521288,1,-29.112932,0.0,-81.677727,0.0,-0.817235,-0.0,-0.576304,-109.61796686403493,[ 0. -1. -0.],0.0121,0.0,0.0339,0.0,-1.0,-0.0
76,0.529622,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0133,-0.0,0.0334,0.0,0.0,0.0
77,0.529622,1,-31.99342,0.0,-80.593025,0.0,-0.827335,-0.0,-0.561709,-111.65186976487328,[ 0. -1. -0.],0.0133,-0.0,0.0334,0.0,-1.0,-0.0
78,0.537956,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0156,0.0,0.0324,0.0,0.0,0.0
79,0.537956,1,-37.543827,0.0,-78.16185,0.0,-0.846456,-0.0,-0.532458,-115.65660828576883,[ 0. -1. -0.],0.0156,0.0,0.0324,0.0,-1.0,-0.0
80,0.5462899999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0177,0.0,0.0313,0.0,0.0,0.0
81,0.5462899999999999,1,-42.788715,0.0,-75.41843399999999,0.0,-0.864136,-0.0,-0.503257,-119.5685217449674,[ 0. -1. -0.],0.0177,0.0,0.0313,0.0,-1.0,-0.0
82,0.554624,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0198,0.0,0.03,0.0,0.0,0.0
83,0.554624,1,-47.704475,0.0,-72.40924100000001,0.0,-0.8803850000000001,-0.0,-0.47426,-123.37764986457721,[ 0. -1. -0.],0.0198,0.0,0.03,0.0,-1.0,-0.0
84,0.5629569999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0217,0.0,0.0287,0.0,0.0,0.0
